match_id,season,match_number,stage,date,venue,city,team1,team2,toss_winner,toss_decision,bat_first_team,chasing_team,winner,result,super_over,method,win_by_runs,win_by_wickets,target_runs,target_overs,scheduled_overs,player_of_match
1527674,2026,1.0,,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,win,False,,,6.0,202.0,20.0,20,JA Duffy
1527675,2026,2.0,,2026-03-29,"Wankhede Stadium, Mumbai",Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,win,False,,,6.0,221.0,20.0,20,SN Thakur
1527676,2026,3.0,,2026-03-30,"Barsapara Cricket Stadium, Guwahati",Guwahati,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,win,False,,,8.0,128.0,20.0,20,N Burger
1527677,2026,4.0,,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,Gujarat Titans,Punjab Kings,Punjab Kings,field,Gujarat Titans,Punjab Kings,Punjab Kings,win,False,,,3.0,163.0,20.0,20,C Connolly
1527678,2026,5.0,,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,win,False,,,6.0,142.0,20.0,20,Sameer Rizvi
1527679,2026,6.0,,2026-04-02,"Eden Gardens, Kolkata",Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,win,False,,65.0,,227.0,20.0,20,Nithish Kumar Reddy
1527680,2026,7.0,,2026-04-03,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,Punjab Kings,Punjab Kings,win,False,,,5.0,210.0,20.0,20,Priyansh Arya
1527681,2026,8.0,,2026-04-04,"Arun Jaitley Stadium, Delhi",Delhi,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,Delhi Capitals,Delhi Capitals,win,False,,,6.0,163.0,20.0,20,Sameer Rizvi
1527682,2026,9.0,,2026-04-04,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,win,False,,6.0,,211.0,20.0,20,Ravi Bishnoi
1527683,2026,10.0,,2026-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,win,False,,,5.0,157.0,20.0,20,Mohammed Shami
1527684,2026,11.0,,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,win,False,,43.0,,251.0,20.0,20,TH David
1527685,2026,12.0,,2026-04-06,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,,,no result,False,,,,,,20,
1527686,2026,13.0,,2026-04-07,"Barsapara Cricket Stadium, Guwahati",Guwahati,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,win,False,,27.0,,151.0,11.0,20,YBK Jaiswal
1527687,2026,14.0,,2026-04-08,"Arun Jaitley Stadium, Delhi",Delhi,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Gujarat Titans,Delhi Capitals,Gujarat Titans,win,False,,1.0,,211.0,20.0,20,Rashid Khan
1527688,2026,15.0,,2026-04-09,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,win,False,,,3.0,182.0,20.0,20,MD Choudhary
1527689,2026,16.0,,2026-04-10,"Barsapara Cricket Stadium, Guwahati",Guwahati,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,win,False,,,6.0,202.0,20.0,20,V Suryavanshi
1527690,2026,17.0,,2026-04-11,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,win,False,,,6.0,220.0,20.0,20,SS Iyer
1527691,2026,18.0,,2026-04-11,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,win,False,,23.0,,213.0,20.0,20,SV Samson
1527692,2026,19.0,,2026-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,win,False,,,7.0,165.0,20.0,20,M Prasidh Krishna
1527693,2026,20.0,,2026-04-12,"Wankhede Stadium, Mumbai",Mumbai,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,win,False,,18.0,,241.0,20.0,20,PD Salt
1529264,2026,21.0,,2026-04-13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,win,False,,57.0,,217.0,20.0,20,PP Hinge
1529265,2026,22.0,,2026-04-14,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,win,False,,32.0,,193.0,20.0,20,Noor Ahmad
1529266,2026,23.0,,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,win,False,,,5.0,147.0,20.0,20,JR Hazlewood
1529267,2026,24.0,,2026-04-16,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,Punjab Kings,Punjab Kings,win,False,,,7.0,196.0,20.0,20,Arshdeep Singh
1529268,2026,25.0,,2026-04-17,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,bat,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,win,False,,,5.0,181.0,20.0,20,Shubman Gill
1529269,2026,26.0,,2026-04-18,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,win,False,,,6.0,176.0,20.0,20,T Stubbs
