match_id,innings,over,ball_in_over,team,player_in,player_out,reason
1527674,1,7,1,Royal Challengers Bengaluru,D Padikkal,JA Duffy,impact_player
1527674,1,17,6,Sunrisers Hyderabad,DA Payne,TM Head,impact_player
1527675,2,0,1,Kolkata Knight Riders,Kartik Tyagi,FH Allen,impact_player
1527675,2,11,7,Mumbai Indians,SA Yadav,JJ Bumrah,impact_player
1527676,1,3,2,Chennai Super Kings,SN Khan,A Mhatre,impact_player
1527677,1,16,1,Punjab Kings,Priyansh Arya,YS Chahal,impact_player
1527677,2,0,1,Gujarat Titans,M Prasidh Krishna,M Shahrukh Khan,impact_player
1527678,1,13,2,Lucknow Super Giants,Shahbaz Ahmed,MR Marsh,impact_player
1527678,2,3,4,Delhi Capitals,Sameer Rizvi,T Natarajan,impact_player
1527679,2,0,1,Kolkata Knight Riders,FH Allen,B Muzarabani,impact_player
1527679,2,0,1,Sunrisers Hyderabad,E Malinga,TM Head,impact_player
1527680,1,18,1,Punjab Kings,Priyansh Arya,YS Chahal,impact_player
1527680,2,0,1,Chennai Super Kings,RD Chahar,Kartik Sharma,impact_player
1527681,2,1,5,Delhi Capitals,Sameer Rizvi,Mukesh Kumar,impact_player
1527681,2,5,1,Mumbai Indians,M Markande,RG Sharma,impact_player
1527682,2,0,1,Rajasthan Royals,Ravi Bishnoi,D Ferreira,impact_player
1527682,2,13,2,Gujarat Titans,M Shahrukh Khan,M Prasidh Krishna,impact_player
1527683,1,12,1,Lucknow Super Giants,A Badoni,Mohammed Shami,impact_player
1527683,2,0,1,Sunrisers Hyderabad,E Malinga,TM Head,impact_player
1527684,1,16,1,Chennai Super Kings,Kartik Sharma,KK Ahmed,impact_player
1527684,2,10,1,Royal Challengers Bengaluru,Suyash Sharma,D Padikkal,impact_player
1527686,2,0,1,Rajasthan Royals,Ravi Bishnoi,D Ferreira,impact_player
1527686,2,5,1,Mumbai Indians,SE Rutherford,AM Ghazanfar,impact_player
1527687,2,0,1,Gujarat Titans,M Prasidh Krishna,M Shahrukh Khan,impact_player
1527687,2,9,6,Delhi Capitals,Sameer Rizvi,Mukesh Kumar,impact_player
1527688,2,0,1,Kolkata Knight Riders,VG Arora,FH Allen,impact_player
1527688,2,4,4,Lucknow Super Giants,A Badoni,M Siddharth,impact_player
1527689,1,14,1,Royal Challengers Bengaluru,VR Iyer,D Padikkal,impact_player
1527689,2,0,1,Rajasthan Royals,V Suryavanshi,Sandeep Sharma,impact_player
