match_id,innings,over,ball_in_over,reviewing_team,batter,umpire,type,decision,successful
1527674,1,0,3,Royal Challengers Bengaluru,Abhishek Sharma,J Madanagopal,wicket,struck down,False
1527675,1,6,3,Mumbai Indians,AM Rahane,Anish Sahasrabudhe,wicket,struck down,False
1527675,2,16,4,Kolkata Knight Riders,Tilak Varma,Anish Sahasrabudhe,wicket,struck down,False
1527676,1,3,1,Rajasthan Royals,A Mhatre,M Krishnadas,wicket,upheld,True
1527676,1,7,2,Chennai Super Kings,SN Khan,M Krishnadas,wicket,struck down,False
1527676,1,10,4,Chennai Super Kings,Kartik Sharma,HDPK Dharmasena,wicket,struck down,False
1527676,2,1,1,Chennai Super Kings,V Suryavanshi,HDPK Dharmasena,wicket,struck down,False
1527677,2,5,5,Punjab Kings,P Simran Singh,Abhijit Bhattacharya,wicket,upheld,True
1527678,1,8,6,Delhi Capitals,Abdul Samad,UV Gandhe,wicket,struck down,False
1527678,2,6,1,Lucknow Super Giants,Sameer Rizvi,UV Gandhe,wicket,struck down,False
1527679,2,8,3,Sunrisers Hyderabad,A Raghuvanshi,Vinod Seshan,wicket,struck down,False
1527679,2,15,5,Kolkata Knight Riders,Kartik Tyagi,MV Saidharshan Kumar,wicket,struck down,False
1527680,1,13,4,Punjab Kings,Kartik Sharma,Abhijit Bhattacharya,wicket,upheld,True
1527680,1,17,5,Punjab Kings,PR Veer,Abhijit Bhattacharya,wicket,struck down,False
1527680,2,4,5,Chennai Super Kings,P Simran Singh,Abhijit Bhattacharya,wicket,struck down,False
1527681,1,8,5,Delhi Capitals,RG Sharma,HDPK Dharmasena,wicket,struck down,False
1527681,1,15,4,Mumbai Indians,SA Yadav,M Krishnadas,wicket,struck down,False
1527682,1,10,3,Gujarat Titans,Dhruv Jurel,R Pandit,wicket,struck down,False
1527682,2,18,4,Rajasthan Royals,Rashid Khan,R Pandit,wicket,struck down,False
1527683,2,18,6,Lucknow Super Giants,MD Choudhary,MV Saidharshan Kumar,wicket,upheld,True
1527684,1,15,5,Chennai Super Kings,RM Patidar,KN Ananthapadmanabhan,wicket,struck down,False
1527686,1,5,5,Rajasthan Royals,Dhruv Jurel,M Krishnadas,wicket,struck down,False
